Information listing created by	marti
Date	07-Dec-2023 23:39:24
Current work part	C:\Users\marti\OneDrive\Ambiente de Trabalho\Projeto MComp\projetoMComp_fem1.fem
Node name	LAPTOP-JJG7VEAE


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  200                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 77 76 50 352 357 358
  201                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 78 59 60 359 360 361
  202                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 450 78 449 362 363 469
  203                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 450 59 78 297 359 362
  204                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 60 79 78 364 365 361
  205                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 61 79 60 366 364 367
  206                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 79 80 64 368 369 370
  207                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 79 61 80 366 371 368
  208                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 504 80 61 372 371 373
  209                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 80 3 64 374 356 369
  210                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 80 504 3 372 250 374
  211                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 449 81 448 375 376 470
  212                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 81 78 79 377 365 378
  213                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 81 449 78 375 363 377
  214                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 448 62 447 379 303 471
  215                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 448 81 62 376 380 379
  216                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 63 79 64 381 370 346
  217                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 81 63 62 382 309 380
  218                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 81 79 63 378 381 382
  219                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 4 60 59 383 360 301
  220                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 4 9 60 125 384 383
  221                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 9 61 60 385 367 384
  222                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 61 407 504 386 416 373
  223                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 407 9 406 387 133 417
  224                  | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 407 61 9 386 385 387
 
------------------------------------------------------------
 
