Information listing created by	marti
Date	11-Dec-2023 21:00:54
Current work part	C:\Users\marti\OneDrive\Ambiente de Trabalho\SOFCOM_G32\Simulation T6\T6 - MALHA BASE\projetoMComp_fem1.fem
Node name	LAPTOP-JJG7VEAE


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  210                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 92 91 562 402 399 403
  211                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 92 83 91 400 397 402
  212                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 563 92 562 404 403 568
  213                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 486 563 573 405 569 511
  214                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 92 486 84 406 361 401
  215                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 92 563 486 404 405 406
  216                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 63 521 522 407 538 350
  217                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 93 521 63 408 407 409
  218                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 520 93 20 410 411 261
  219                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 520 521 93 539 408 410
  220                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 62 93 63 412 409 322
  221                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 62 547 93 413 414 412
  222                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 62 546 547 333 554 413
  223                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 20 548 575 415 555 275
  224                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 548 93 547 416 414 556
  225                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 548 20 93 415 411 416
  226                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 19 543 544 417 557 344
  227                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 16 95 5 418 419 124
  228                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 94 543 19 420 417 421
  229                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 16 96 95 422 423 418
  230                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 96 1 542 424 141 425
  231                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 96 16 1 422 121 424
  232                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 96 94 95 426 427 423
  233                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 543 96 542 428 425 558
  234                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 543 94 96 420 426 428
  235                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 471 97 15 429 430 431
  236                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 97 5 95 432 419 433
  237                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 472 97 471 434 429 482
  238                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 472 5 97 125 432 434
  239                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 18 94 19 435 421 335
  240                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 98 95 94 436 427 437
  241                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 98 97 95 438 433 436
  242                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 15 98 14 439 440 441
  243                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 15 97 98 430 438 439
  244                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 14 17 491 442 308 443
  245                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 14 98 17 440 444 442
  246                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 18 98 94 445 437 435
  247                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 18 17 98 312 444 445
  248                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 468 10 8 446 115 155
  249                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 468 469 10 483 447 446
  250                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 3 470 471 448 484 449
  251                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 3 11 470 117 450 448
  252                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 470 11 469 450 451 485
  253                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 11 10 469 118 447 451
  254                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 3 15 6 452 453 112
  255                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 3 471 15 449 431 452
  256                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 492 14 491 454 443 512
  257                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 14 6 15 455 453 441
  258                  | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 14 492 6 454 104 455
 
------------------------------------------------------------
 
