Information listing created by	marti
Date	07-Dec-2023 23:26:24
Current work part	C:\Users\marti\OneDrive\Ambiente de Trabalho\Projeto MComp\projetoMComp_fem2.fem
Node name	LAPTOP-JJG7VEAE


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  141                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 108 56 107
  142                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 1 83 84
  143                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 1 55 83
  144                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 108 82 56
  145                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 108 136 82
  146                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 55 82 83
  147                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 55 56 82
  148                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 57 109 110
  149                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 1 85 58
  150                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 1 84 85
  151                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 109 86 137
  152                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 109 57 86
  153                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 86 58 85
  154                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 86 57 58
  155                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 115 59 114
  156                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 7 59 115
  157                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 141 7 130
  158                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 59 141 4
  159                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 59 7 141
  160                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 67 111 62
  161                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 110 67 57
  162                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 110 111 67
  163                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 62 65 67
  164                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 62 63 65
  165                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 66 67 65
  166                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 57 66 58
  167                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 57 67 66
  168                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 55 69 56
  169                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 70 55 1
  170                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 69 70 68
  171                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 69 55 70
  172                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 68 66 65
  173                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 68 70 66
  174                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 58 70 1
  175                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 58 66 70
  176                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 71 56 69
  177                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 107 71 106
  178                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 107 56 71
  179                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 69 72 71
  180                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 69 68 72
  181                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 48 74 73
  182                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 74 105 106
  183                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 74 48 105
  184                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 71 74 106
  185                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 73 71 72
  186                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 73 74 71
  187                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 75 65 63
  188                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 68 75 72
